governorate,bank,date,gender,sale_type,count
Al Mahwit,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,TIIB,2025-05-15,female,cash_sales,0.0
Al Mahwit,TIIB,2025-05-15,female,credit_sales,0.0
Al Mahwit,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,TIIB,2025-05-15,male,cash_sales,0.0
Al Mahwit,TIIB,2025-05-15,male,credit_sales,0.0
Al Mahwit,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,YKB,2025-05-15,female,cash_sales,0.0
Al Mahwit,YKB,2025-05-15,female,credit_sales,0.0
Al Mahwit,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,YKB,2025-05-15,male,cash_sales,1.0
Al Mahwit,YKB,2025-05-15,male,credit_sales,0.0
Al Mahwit,YKB,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,AMB,2025-05-15,female,cash_sales,0.0
Amanat Al Asimah,AMB,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,AMB,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,AMB,2025-05-15,male,cash_sales,0.0
Amanat Al Asimah,AMB,2025-05-15,male,credit_sales,0.0
Amanat Al Asimah,AMB,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,AMP,2025-05-15,female,cash_sales,0.0
Amanat Al Asimah,AMP,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,AMP,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,AMP,2025-05-15,male,cash_sales,0.0
Amanat Al Asimah,AMP,2025-05-15,male,credit_sales,0.0
Amanat Al Asimah,AMP,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,Azal,2025-05-15,female,cash_sales,4.0
Amanat Al Asimah,Azal,2025-05-15,female,credit_sales,0.0
Amanat Al Asimah,Azal,2025-05-15,female,first_borrowers_only,0.0
Amanat Al Asimah,Azal,2025-05-15,male,cash_sales,9.0
Amanat Al Asimah,Azal,2025-05-15,male,credit_sales,1.0
Amanat Al Asimah,Azal,2025-05-15,male,first_borrowers_only,0.0
Amanat Al Asimah,KIMB,2025-05-15,female,cash_sales,0.0
Amanat Al Asimah,KIMB,2025-05-15,female,credit_sales,
Amanat Al Asimah,KIMB,2025-05-15,female,first_borrowers_only,
Amanat Al Asimah,KIMB,2025-05-15,male,cash_sales,0.0
Amanat Al Asimah,KIMB,2025-05-15,male,credit_sales,
Amanat Al Asimah,KIMB,2025-05-15,male,first_borrowers_only,
Amanat Al Asimah,NMF,2025-05-15,female,cash_sales,10.0
